AttributeId	Description
1	The profile number or profile identification code should be constructed in such a way that it meets local needs and also allows easy and simple retrieval of profile descriptions from computerized data storage systems. The profile identification code should be constructed from a combination of a location letter code and a profile number code. The letter code should consist of a practical selection of codes referring to a country, preferably the internationally accepted International Organization for Standardization (ISO) code, a topographic map reference or any other defined area or town. Example: DE/ST/HAL -0381 = Halle in Saxony-Anhalt in Germany, profile 381.
2	The status of the soil profile description refers to the quality of the soil description and the analytical data. The status is allocated after completion of the analyses and is indicative of the reliability of soil profile information entered into a database.
3	Indication of the date of description, in order to inform future users of the soil data as to how old the data are.
4	The persons who perform the description need to be acknowledged properly in future uses of the soil data. In addition, they hold responsibility for the quality of the data. The names or initials of the authors are given.
5	A description of the site location. It should be as precise as possible in terms of the distance (in metres or kilometres) and direction to the site from permanent features that are recognizable in the field and on the topographic map. Distances along roads or traverses relate to a marked reference point (0.0 km). The description of the location should be such that users who are unfamiliar with the area are able to locate the approximate position of the site. The administrative units, such as region, province, district, country or locality, are given in the profile number section (above). Example: Agricultural research station Bad Lauchstädt, Sachsen-Anhalt.
6	"The elevation of the site relative to sea level, obtained as accurately as possible, preferably from detailed contour or topographic maps. Where such
information is not available, the best possible estimate is made from general maps or by altimeter readings. At present, determination of elevation by the Global Positioning System (GPS) unit is inaccurate and unacceptable. Elevation is given in metres (1 foot = 0.3048 m)."
7	The number of the topographic map sheet, preferably at 1:25 000 or 1:50 000 scale, on which the soil observation occurs is given. Example: TK50 L4536 Halle (Saale) = Topographic map 1:50 000 Number L4536 of Halle.
8	"Landforms are described foremost by their morphology and not by their genetic origin or processes responsible for their shape. The dominant slope is the most important differentiating criterion, followed by the relief intensity. The relief intensity is the median difference between the highest and lowest point within the terrain per specified distance. The specified distance can be variable. The relief intensity is normally given in metres per kilometre.
Source: Updated SOTER, ISRIC, 2005. 
Changes proposed at the SOTER meeting at Ispra, October 2004."
9	"An indication of the relative position of the site within the land. The position affects the hydrological conditions of the site (external and internal drainage, e.g. subsurface runoff), which may be interpreted as being predominantly
water receiving, water shedding or neither of these."
10	The monthly mean temperature taken from the nearest meteorological station.
11	The monthly mean precipitation taken from the nearest meteorological station.
12	The length of the growing period is defined as the period with humid conditions (excess of precipitation over potential evapotranspiration) during the time with temperature ≥ 5 °C (FAO, 1978).
13	Prevailing general weather conditions at the time of observation.
14	Prevailing general weather conditions prior to the time of observation.
15	Air temperature at the time of observation.
16	The soil temperature regime according to Keys to Soil Taxonomy (USDA Soil Survey Staff, 2003).
17	"The soil temperature regime according to Keys to Soil Taxonomy (USDA Soil Survey Staff, 2003). The term “soil moisture regime” refers to the presence or absence either of ground water or of water held at a tension of less than 1500 kPa in the soil or in specific horizons during periods of the year. Water held at a tension of 1500 kPa or more is not available to keep most mesophytic plants alive. The availability of water is also affected by dissolved salts. If a soil is saturated with water that is too salty to be available to most plants, it is considered salty rather than dry. Consequently, a horizon is considered dry when the moisture tension is 1500 kPa or more and is considered moist if water is held at a tension of less than 1500 kPa but more than zero. A soil may be continuously moist in some or all horizons either throughout the year or for some part of the year. It may be either moist in winter and dry in summer or the reverse. In the Northern Hemisphere, summer refers to June, July, and August and winter refers to December, January, and February.

The soil moisture regimes are defined in terms of the level of ground water and in terms of the seasonal presence or absence of water held at a tension of less than 1500 kPa in the moisture control section. It is assumed in the definitions that the soil supports whatever vegetation it is capable of supporting, i.e., crops, grass, or native vegetation, and that the amount of stored moisture is not being increased by irrigation or fallowing. These cultural practices affect the soil moisture conditions as long as they are continued."
18	The slope form refers to the general shape of the slope in both the vertical and horizontal directions.
19	"The slope gradient refers to the slope of the land immediately surrounding the site. It is measured using a clinometer aimed in the direction of the steepest slope. Where clinometer readings are not possible, field estimates of slope gradient should be matched against calculated gradients from contour maps.
Slope gradients in almost flat terrain are often overestimated. In open plains, slope gradients of 0.2 percent are usually clearly visible. The proper recording of minor slope-gradient variations is important, especially for erosion,
irrigation and drainage.
The slope gradient is recorded by means of the actual, measured value."
20	The length of the slope of the land immediately surrounding the site (particularly above the site).
21	"The aspect (orientation) of the slope of the land immediately surrounding the site. The orientation influences, for example, the precipitation input, the temperature regime, the risk for wind impact and the character of humus formed in higher latitudes.
The orientation that a slope is facing is coded N for north, E for east, S for south and W for west; for example, SSW means south-southwest."
22	Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. Land use has a major influence on the direction and rate of soil formation; its recording enhances the interpretative value of the soil data considerably.
23	A crop is a plant that is cultivated for its economic value. Information on crops is important because it gives an idea of the nature of soil disturbance as a result of crop management practices as well as the nutrient and soil management requirements of the crop.
24	Any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. Erosion is dealt with separately.
