DomainId;Name
165;"Value domain for grade of structure of pedal soil materials (defined in ""Guidelines for soil description - Fourth edition"", FAO, Rome 2006"
11;Guidelines for soil description - 3rd edition, 1990
166;"Value domain for particle size class (defined in ""SOTER procedures manual - 1995"")"
167;"Value domain for month numbers (defined in ""SOTER procedures manual - 1995"")"
1;"Value domain for profile location status (defined in ""Global and National Soils and Terrain Digital Databases (SOTER). Procedures Manual (version 2.0) [DRAFT]"", ISRIC - World Soil Information, Wageningen. 2010"
2;"Value domain for landform (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
3;"Value domain for slope gradient class (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
4;"Value domain for crop (defined in ""Guidelines for soil description - Fourth edition"", FAO, Rome 2006"
5;"Value domain for unconsolidated parent material (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
6;"Value domain for phase (1988) (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
7;"Value domain for topography (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
8;"Value domain for land element (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
9;"Value domain for micro-topography (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
10;"Value domain for grass cover (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
104;"Value domain for size of roots (defined in ""Guidelines for soil description - Fourth edition"", FAO, Rome 2006"
12;"Value domain for effective soil depth (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
13;"Value domain for drainage class (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
14;"Value domain for saturation (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
15;"Value domain for hydraulic conductivity (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
16;"Value domain for external drainage (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
17;"Value domain for flooding frequency (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
18;"Value domain for flooding duration (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
19;"Value domain for flooding depth (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
20;"Value domain for depth classes, e.g. to the groundwater table (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
21;"Value domain for phreatic water (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
22;"Value domain for groundwater quality (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
23;"Value domain for moisture conditions (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
24;"Value domain for size class for soil structure types (defined in ""Guidelines for soil description - Fourth edition"", FAO, Rome 2006"
25;"Value domain for nature of coatings (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
26;"Value domain for erosion main category (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
27;"Value domain for erosion type (defined in ""Guidelines for soil description - Third edition (Revised)"", FAO, Rome 1990"
28;"Value domain for subdivision of the sand fraction (defined in ""Guidelines for soil description - Fourth edition"", FAO, Rome 2006"
29;"Value domain for soil profile description status (defined in ""Guidelines for soil description - Fourth edition"", FAO, Rome 2006"
30;"Value domain for major landform (defined in ""Guidelines for soil description - Fourth edition"", FAO, Rome 2006"
31;"Value domain for position (defined in ""Guidelines for soil description - Fourth edition"", FAO, Rome 2006"
32;"Value domain for present weather conditions (defined in ""Guidelines for soil description - Fourth edition"", FAO, Rome 2006"
33;"Value domain for former weather conditions (defined in ""Guidelines for soil description - Fourth edition"", FAO, Rome 2006"
34;"Value domain for soil temperature regime (defined in ""Keys to Soil Taxonomy - Ninth Edition"", US Department of Agriculture 2003"
35;"Value domain for soil moisture regime (defined in ""Keys to Soil Taxonomy - Ninth Edition"", US Department of Agriculture 2003"
36;"Value domain for slope form (defined in ""Guidelines for soil description - Fourth edition"", FAO, Rome 2006"
37;"Value domain for land use (defined in ""Guidelines for soil description - Fourth edition"", FAO, Rome 2006"
38;"Value domain for crop (defined in ""Guidelines for soil description - Fourth edition"", FAO, Rome 2006"
39;"Value domain for human influence (defined in ""Guidelines for soil description - Fourth edition"", FAO, Rome 2006"
