DomainValueId	Description
1	Flat
2	Level
3	Nearly level
4	Very gently sloping
5	Gently sloping
6	Sloping
7	Strongly sloping
8	Moderately steep
9	Steep
10	Very steep
11	Barley
12	Maize
13	Millet
14	Rice (flooded)
15	Rice (upland)
16	Sorghum
17	Wheat
18	Coconut
19	Groundnut
20	Oilpalm
21	Soyabean
22	Sunflower
23	Cassava
24	Potato
25	Yams
26	Cotton
27	Vegetables
28	Beans
29	Peas
30	Cocoa
31	Coffee
32	Tea
33	Tobacco
34	Sugar cane
35	Rubber
36	Mountain
37	Hill
38	Upland
39	Plain
40	Plateau
41	Basin
42	Valley
43	Alluvial plain
44	Coastal plain
45	Lacustrine plain
46	Glacial plain
47	Peneplane
48	Pediment
49	Volcano
50	Dunefield
51	Delta
52	Tidal flat
53	Playa
54	Interfluve
55	Valley
56	Valley floor
57	Channel
58	Levee
59	Terrace
60	Floodplain
61	Lagoon
62	Pan
63	Coral reef
64	Caldera
65	Depression
66	Dune
67	Longitudinal dune
68	Interdunal depression
69	Slope
70	Ridge
71	Beachridge
72	Cashew
73	Cowpea
74	Fruit trees
75	Rice
76	Sweet potato
77	Aeolian deposits (uspecified)
78	Aeolian sand
79	Littoral deposits
80	Lagoon deposits
81	Marine deposits
82	Lacustrine deposits
83	Fluvial deposits
84	Alluvial deposits
85	Volcanic ash
86	Loess
87	Pyroclastic deposits
88	Glacial deposits
89	Organic deposits
90	Colluvial deposits
91	In situ weathered
92	Saprolite
93	Unconsolidated (unspecified)
94	Anthraquic
95	Duripan
96	Fragipan
97	Gelundic
98	Gilgai
99	Inundic
100	Lithic
101	Petroferric
102	Phreatic
103	Placic
104	Rudic
105	Salic
106	Skeletic
107	Sodic
108	Takyric
109	Yermic
110	Flat (0%-0.5%)
111	Almost flat (0.5%-2%)
112	Gently undulating (2%-5%)
113	Undulating (5%-10%)
114	Rolling (10%-15%)
115	Hilly (15%-30%)
116	Steeply dissected (> 30%, moderate range of elevation)
117	Mountainous (> 30%, great range of elevation (> 300 m))
118	No micro-relief - surface is (nearly) level
119	Gilgai (unspecified)
120	Low gilgai - height difference (within 10 m) < 20 cm
121	Medium gilgai - height difference (within 10 m) 20-40 cm
122	High gilgai - height difference (within 10 m) > 40 cm
123	Termite or ant mounds
124	Animal tracks
125	Animal burrows
126	Hummocks (unspecified)
127	Low hummocks - height difference < 20 cm
128	Medium hummocks - height difference 20-40 cm
129	High hummocks - height difference > 40 cm
130	Shifting sands
131	Terracettes
132	Ripples
133	No cover
134	0%-15%
135	15%-40%
136	40%-80%
137	> 80%
138	Acid igneous/metamorphic rock
139	Granite
140	Gneiss
141	Granite/gneiss
142	Quartzite
143	Schist
144	Andesite
145	Diorite
146	Basic igneous/metamorphic rock
147	Ultra basic rock
148	Gabbro
149	Basalt
150	Dolerite
151	Volcanic rock
152	Sedimentary rock
153	Limestone
154	Dolomite
155	Sandstone
156	Quartzitic sandstone
157	Shale
158	Marl
159	Travertine
160	Conglomerate
161	Siltstone
162	Tuff
163	Pyroclastic rock
164	Evaporite
165	Gypsum rock
166	Not known
167	Very shallow (< 30 cm)
168	Shallow (30-50 cm)
169	Moderately deep (50-100 cm)
170	Deep (100-150 cm)
171	Very deep (> 150 cm)
172	Excessively well drained
173	Somewhat excessively well drained
174	Well drained
175	Moderately well drained
176	Imperfectly drained
177	Poorly drained
178	Very poorly drained
179	Less than 1 day
180	1-15 days
181	15-30 days
182	30-90 days
183	90-180 days
184	180-360 days
185	Continuously
186	None
187	Daily
188	Weekly
189	Monthly
190	Annually
191	Biennually
192	Once every 2-4 years
193	Once every 5-10 years
194	Rare (less than once in every 10 years)
195	Unknown
196	Never saturated (well drained)
197	Rarely saturated (a few days in some years)
198	Saturated for short periods in most years (up to 30 days)
199	Saturated for long periods every year
200	Always saturated (very poorly drained)
201	Not known
202	Extremely slow (< 0.06 cm/h)
203	Very slow (0.06 - 0.2 cm/h)
204	Slow (0.2 - 0.6 cm/h)
205	Moderately slow (0.6 - 2.0 cm/h)
206	Moderately rapid (2.0 - 6.0 cm/h)
207	Rapid (6 - 20 cm/h)
208	Very rapid (> 20 cm/h)
209	Ponded (run-on site)
210	Neither receiving nor shedding water
211	Slow run-off
212	Moderately rapid run-off
213	Rapid run-off
214	Very shallow (0-25 cm)
215	Shallow (25-50 cm)
216	Moderately deep (50-100 cm)
217	Deep (100-150 cm)
218	Very deep (> 150 cm)
219	Very shallow (0-25 cm)
220	Shallow (25-50 cm)
221	Moderately deep (50-100 cm)
222	Deep (100-150 cm)
223	Very deep (> 150 cm)
224	Not observed
225	Shallow phreatic water (2-3 m)
226	Moderately deep phreatic water (3-5 m)
227	Deep phreatic water (5-8 m)
228	Extremely deep phreatic water (> 8 m)
229	Not known
230	Saline
231	Brackish
232	Fresh
233	Polluted
234	Oxygenated
235	Stagnating
236	Dry
237	Slightly moist
238	Moist
239	Wet
240	Very fine
241	Tree and shrub cropping
242	Fine
243	Medium
244	Coarse
245	Very coarse
246	Fine and very fine
247	Fine and medium
248	Fine to coarse
249	Medium and coarse
250	Medium to very coarse
251	Coarse and very coarse
252	Clay
253	Clay and sesquioxides
254	Clay and humus (organic matter)
255	Pressure faces
256	Slickensides, non intersecting
257	Slickensides, partly intersecting
258	Slickensides, predominantly intersecting
259	Shiny faces (as in nitic properties)
260	No evidence of erosion
261	Wind erosion or deposition
262	Wind (aeolian) erosion or deposition
263	Mass movement (landslides and similar phenomena)
264	Not known
265	Sheet erosion
266	Rill erosion
267	Gully erosion
268	Tunnel erosion
269	Deposition by water
270	Water and wind erosion
271	Wind deposition
272	Wind erosion and deposition
273	Shifting sands
274	Salt deposition
275	Very fine sand
276	Fine sand
277	Coarse sand
278	Medium sand
279	Unsorted sand
280	sunny/clear
281	partly cloudy
282	overcast
283	rain
284	sleet
285	snow
286	no rain in the last month
287	no rain in the last week
288	no rain in the last 24 hours
289	rainy without heavy rain in the last 24 hours
290	heavier rain for some days or rainstorms in the last 24 hours
291	extremely rainy time or snow melting
292	Pergelic
293	Cryic
294	Frigid
295	Isofrigid
296	Melons
297	Mesic
298	Isomesic
299	Thermic
300	Isothermic
301	Hyperthermic
302	Isohyperthermic
303	Aquic
304	Peraquic
305	Udic
306	Perudic
307	Ustic
308	Xeric
309	Aridic
310	Torric
311	Reference profile description
312	Reference profile description
313	Routine profile description
314	Routine profile description
315	Not used and not managed
316	Cereals
317	Barley
318	Brownish
319	Incomplete description
320	Incomplete description
321	Soil augering description
322	Soil augering description
323	Other descriptions
324	Crop agriculture (cropping)
325	Annual field cropping
326	Shifting cultivation
327	Fallow system cultivation
328	Ley system cultivation
329	Rainfed arable cultivation
330	Wet rice cultivation
331	Irrigated cultivation
332	Perennial field cropping
333	Non-irrigated cultivation
334	Irrigated cultivation
335	Non-irrigated tree crop cultivation
336	Irrigated tree crop cultivation
337	Non-irrigated shrub crop cultivation
338	Irrigated shrub crop cultivation
339	Traditional rainfed arable cultivation
340	Improved traditional rainfed arable cultivation
341	Mechanized traditional rainfed arable cultivation
342	Commercial rainfed arable cultivation
343	Unspecified rainfed arable cultivation
344	Mixed farming
345	Agroforestry
346	Agropastoralism
347	Animal husbandry
348	Extensive grazing
