DomainValueId	Explanation							
1	0 - 0.2%							
2	0.2 - 0.5%							
3	0.5 - 1.0%							
4	1.0 - 2.0°%							
5	2 - 5%							
6	5 - 10%							
7	10 - 15%							
8	15 - 30%							
9	30 - 60%							
10	> 60%							
11								
12								
13								
14								
15								
16								
17								
18								
19								
20								
21								
22								
23								
24								
25								
26								
27								
28								
29								
30								
31								
32								
33								
34								
35								
36								
37								
38								
39								
40								
41								
42								
43								
44								
45								
46								
47								
48								
49								
50								
51								
52								
53								
54								
55								
56								
57								
58								
59								
60								
61								
62								
63								
64								
65								
66								
67								
68								
69								
70								
71								
72								
73								
74								
75								
76								
77								
78								
79								
80								
81								
82								
83								
84								
85								
86								
87								
88								
89								
90								
91								
92								
93								
94								
95								
96								
97								
98								
99								
100								
101								
102								
103								
104								
105								
106								
107								
108								
109								
110								
111								
112								
113								
114								
115								
116								
117								
118								
119								
120								
121								
122								
123								
124								
125								
126								
127								
128								
129								
130								
131								
132								
133								
134								
135								
136								
137								
138								
139								
140								
141								
142								
143								
144								
145								
146								
147								
148								
149								
150								
151								
152								
153								
154								
155								
156								
157								
158								
159								
160								
161								
162								
163								
164								
165								
166								
167								
168								
169								
170								
171								
172	Water is removed from the soil very rapidly.							
173	Water is removed from the soil rapidly.							
174	Water is removed from the soil somewhat slowly during some periods of the year. The soils are wet for short periods within rooting depth.							
175	Water is removed from the soil somewhat slowly during some periods of the year. The soils are wet for short periods within rooting depth.							
176	Water is removed slowly so that the soils are wet at shallow depth for a considerable period.							
177	Water is removed so slowly that the soils are commonly wet for considerable periods. The soils commonly have a shallow water table.							
178	Water is removed so slowly that the soils are wet at shallow depth for long periods. The soils have a very shallow water table.							
179								
180								
181								
182								
183								
184								
185								
186								
187								
188								
189								
190								
191								
192								
193								
194								
195								
196								
197								
198								
199								
200								
201								
202								
203								
204								
205								
206								
207								
208								
209								
210								
211								
212								
213								
214								
215								
216								
217								
218								
219								
220								
221								
222								
223								
224								
225								
226								
227								
228								
229								
230								
231								
232								
233								
234								
235								
236								
237								
238								
239								
240	Platy: < 1 mm,  prismatic: < 10 mm, blocky: < 5 mm, granular: < 1 mm.							
241								
242	Platy: 1–2 mm,  prismatic: 10–20 mm, blocky: 5–10 mm, granular: 1-2 mm.							
243	Platy: 2–5 mm,  prismatic: 20–50 mm, blocky: 10–20 mm, granular: 2-5 mm.							
244	Platy: 5–10 mm,  prismatic: 50–100 mm, blocky: 20–50 mm, granular: 5-10 mm.							
245	Platy: > 10 mm,  prismatic: > 100 mm, blocky: > 50 mm, granular: > 10 mm.							
246								
247								
248								
249								
250								
251								
252								
253								
254								
255								
256								
257								
258								
259								
260								
261								
262								
263								
264								
265								
266								
267								
268								
269								
270								
271								
272								
273								
274								
275	50% or more very fine sand (and less than 25% coarse and very coarse sand).							
276	50% or more fine and very fine sand (and less than 25% coarse and very coarse sand).							
277	25% or more very coarse and coarse sand, and less than 50% medium sand and less than 50% fine and very fine sand.							
278	Either 50% or more medium sand, or 25% or more medium sand with less than 25% coarse and very coarse sand and less than 50% fine and very fine sand.							
279								
280								
281								
282								
283								
284								
285								
286								
287								
288								
289								
290								
291								
292	Gelisols and Gelic suborders and great groups that have a mean annual soil temperature from -4 °C to -10 °C.							
293	"Soils in this temperature regime have a mean annual temperature lower than 8 °C but do not have permafrost (Gr. kryos, coldness; meaning very cold soils).

1. In mineral soils the mean summer soil temperature (June, July, and August in the Northern Hemisphere and December, January, and February in the Southern Hemisphere) either at a depth of 50 cm from the soil surface or at a densic, lithic, or paralithic contact, whichever is shallower, is as follows:
a. If the soil is not saturated with water during some part of the summer and
  (1) If there is no O horizon: lower than 15 °C; or
  (2) If there is an O horizon: lower than 8 °C; or
b. If the soil is saturated with water during some part of the summer and
  (1) If there is no O horizon: lower than 13 °C; or
  (2) If there is an O horizon or a histic epipedon: lower than 6 °C.

2. In organic soils the mean annual soil temperature is lower than 6 °C. Cryic soils that have an aquic moisture regime commonly are churned by frost. Isofrigid soils could also have a cryic temperature regime. A few with organic materials in the upper part are exceptions."							
294	A soil with a frigid temperature regime is warmer in summer than a soil with a cryic regime, but its mean annual temperature is lower than 8 °C and the difference between mean summer (June, July, and August) and mean winter (December, January, and February) soil temperatures is more than 6 °C either at a depth of 50 cm from the soil surface or at a densic, lithic, or paralithic contact, whichever is shallower.							
295	The mean annual soil temperature is lower than 8 °C. The mean summer and mean winter soil temperatures differ by less than 6 °C at a depth of 50 cm or at a densic, lithic, or paralithic contact, whichever is shallower.							
296								
297	The mean annual soil temperature is 8 °C or higher but lower than 15 °C, and the difference between mean summer and mean winter soil temperatures is more than 6 °C either at a depth of 50 cm from the soil surface or at a densic, lithic, or paralithic contact, whichever is shallower.							
298	"The mean annual soil temperature is 8 °C or higher but lower than 15 °C.
The mean summer and mean winter soil temperatures differ by less than 6 °C at a depth of 50 cm or at a densic, lithic, or paralithic contact, whichever is shallower."							
299	The mean annual soil temperature is 15 °C or higher but lower than 22 °C, and the difference between mean summer and mean winter soil temperatures is more than 6 °C either at a depth of 50 cm from the soil surface or at a densic, lithic, or paralithic contact, whichever is shallower.							
300	The mean annual soil temperature is 15 °C or higher but lower than 22 °C. The mean summer and mean winter soil temperatures differ by less than 6 °C at a depth of 50 cm or at a densic, lithic, or paralithic contact, whichever is shallower.							
