AttributeId	Description
1	O número ou código de identificação do perfil de solo deve ser construído de tal forma que satisfaça as necessidades locais e também permita a fácil e simples recuperação de descrições de perfil de solo a partir de sistemas computadorizados de armazenamento de dados. O código de identificação do perfil de solo deve ser construído a partir da combinação de um código de letra do local e um código de número do perfil. O código de letra deve ser constituído a partir de uma seleção prática de códigos referentes a um país, de preferência aqueles estabelecidos pela International Organization for Standardization (ISO) e aceitos internacionalmente, ou de uma carta topográfica ou qualquer outra área definida ou cidade. Exemplo: BR/RJ/SEROPEDICA-0381 = o perfil de solo foi descrito no município de Seropédica, no estado do Rio de Janeiro, Brasil, e está registrado sob o número 381.
2	O status da descrição do perfil de solo refere-se à qualidade da descrição do solo e dados analíticos. O status é atribuído após a conclusão das análises e é indicativo da confiabilidade da informação do perfil de solo que entrou em um banco de dados.
3	Indicação da data de descrição, a fim de informar os futuros usuários dos dados do solo quanto à idade dos dados.
4	As pessoas que realizam a descrição precisam ser reconhecidas adequadamente em futuras utilizações dos dados do solo. Além disso, eles são responsáveis pela qualidade dos dados. Os nomes ou iniciais dos autores são dadas.
5	Uma descrição da localização do sítio. Deve ser tão precisa quanto possível, em termos de distância (em metros ou quilômetros) e direção do sítio em relação a feições permanentes que são reconhecíveis no campo e no mapa topográfico. Distâncias ao longo de estradas referem-se a um ponto de referência marcante (0,0 km). A descrição da localização deve ser tal que os usuários que não estão familiarizados com a área são capazes de localizar a posição aproximada do sítio. As unidades administrativas, como a região, província, distrito, país ou localidade, são dadas na seção referente ao número do perfil (acima). Exemplo: Estação de Pesquisa Agrícola de Lauchstädt Bad, Sachsen-Anhalt.
6	A elevação do local em relação ao nível do mar, obtida com a maior acurácia possível, de preferência a partir de contornos detalhados ou mapas topográficos. Quando tal informação não estiver disponível, a melhor estimativa possível é feita a partir de mapas gerais ou por leituras em altímetro. Atualmente, a determinação da elevação através do Sistema de Posicionamento Global (GPS) é imprecisa e inaceitável. Elevação é dada em metros (1 pé = 0,3048 m).
7	É dado o número da folha do mapa topográfico, de preferência n escala de 1:25000 ou 1:50 000, no qual a observação de solo ocorre. Exemplo: TK50 L4536 Halle (Saale) = Mapa topográfico de Halle na escala 1:50000, número L4536.
8	Geoformas são descritas, principalmente, pela sua morfologia, e não pela sua origem genética ou processos responsáveis pela sua forma. A inclinação dominante é o critério mais importante de diferenciação, seguido pela intensidade do relevo. A intensidade do relevo é a diferença mediana entre o ponto mais alto e o ponto mais baixo dentro do terreno por uma distância especificada. A distância especificada pode ser variável. A intensidade do relevo é normalmente dada em metros por quilômetro. Fonte: SOTER atualizado, ISRIC, 2005. Mudanças propostas na reunião do SOTER em Ispra, em outubro de 2004.
9	Uma indicação da posição relativa do local dentro da terra. A posição afeta as condições hidrológicas do local (drenagem externa e interna, o escoamento subsuperficial, por exemplo), que podem ser interpretado como sendo predominantemente recebedor de água, fornecedor de água ou nenhum destes.
10	A temperatura média mensal obtida na estação meteorológica mais próxima.
11	A precipitação média mensal obtida da estação meteorológica mais próxima.
12	O comprimento do período de crescimento é definido como o período com condições de umidade (excesso de precipitação sobre a evapotranspiração potencial), durante o período com temperatura ≥ 5°C (FAO, 1978).
13	Condições meteorológicas gerais prevalentes no momento da observação.
14	Condições meteorológicas gerais prevalentes antes do período de observação.
15	Temperatura do ar no momento de observação.
16	O regime de temperatura do solo de acordo com o Keys to Soil Taxonomy (USDA Soil Survey Staff, 2003).
17	O regime de umidade do solo de acordo com o Keys to Soil Taxonomy (USDA Soil Survey Staff, 2003). O termo 'regime de umidade do solo' refere-se à presença ou ausência de água no solo ou de água mantida à uma tensão inferior a 1500 kPa no solo ou em horizontes específicos durante períodos do ano. A água retida a uma tensão de 1500 kPa ou mais não está disponível para manter a maioria das plantas mesófilas vivas. A disponibilidade de água também é afetada por sais dissolvidos. Se o solo está saturado com água muito salgada para estar disponível para a maioria das plantas, o solo é considerado salgado ao invés de seco. Assim, um horizonte é considerado seco quando a tensão da água é de 1500 kPa ou mais, e é considerado úmido se a água é mantida a uma tensão de menos do que 1500 kPa, mas maior do que zero. Um solo pode ser continuamente úmido em alguns ou todos os horizontes, tanto ao longo do ano ou como em alguma parte do ano. Pode ser muito úmido no inverno e seco no verão ou o inverso. No hemisfério sul, o inverno se refere aos meses de junho, julho e agosto, e o verão se refere aos meses de dezembro, janeiro e fevereiro. Os regimes de umidade do solo são definidos em termos do nível de água do solo e em relação à presença ou ausência sazonal de água mantida a uma tensão inferior a 1500 kPa na seção de controle da umidade. Assume-se nas definições que o solo suporta qualquer vegetação que ele seja capaz de suportar, por exemplo, culturas, pastagens, ou vegetação nativa, e que a quantidade de umidade armazenada não está sendo aumentada por irrigação ou pousio. Essas práticas culturais afetam as condições de umidade do solo enquanto forem continuadas.
18	A forma da vertente refere-se a forma geral do terreno em ambos as direções vertical e horizontal.
19	O gradiente do declive, ou simplesmente declividade, refere-se à inclinação da terra circundante ao local. É medido utilizando um clinômetro apontado na direção da inclinação mais acentuada. Onde leituras com clinômetro não são possíveis, as estimativas de campo do gradiente do declive devem ser comparadas com gradientes calculados a partir de mapas de contornos (curvas de nível). As declividades em terreno quase plano são muitas vezes superestimadas. Em planícies abertas, declividades de 0,2% são geralmente bem visível. O registro adequado de pequenas variações de declividade é importante, especialmente para a erosão, irrigação e drenagem. A declividade é registada por meio do valor real medido.
20	O comprimento da vertente/declive da terra circundante ao local (especialmente acima do local).
