DomainId;Name
165;"Domínio de valores para o grau da estrutura dos materiais pédicos do solo (definido em ""Guidelines for soil description – Fourth edition"", Roma: FAO, 2006."
11;Guidelines for soil description - 3ª edição, 1990
166;"Domínio de valores para a classe de tamanho de partículas (definido em ""SOTER procedures manual – 1995"")"
167;"Domínio de valores para month numbers (definido em ""SOTER procedures manual - 1995"")"
1;"Domínio de valores para o status da localização do perfil (definido em ""Global and National Soils and Terrain Digital Databases (SOTER). Procedures Manual (version 2.0) [DRAFT]"", Wageningen: ISRIC - World Soil Information, 2010."
2;"Domínio de valores para a geoforma (definido em ""Guidelines for soil description - Terceira edição (Revisada)"", Roma: FAO, 1990."
3;"Domínio de valores para a classe de declividade (definido em ""Guidelines for soil description - Third edition (Revised)"", Roma: FAO, 1990."
4;"Domínio de valores para cultura (definido em ""Guidelines for soil description – Fourth edition"", Roma: FAO, 2006."
5;"Domínio de valores para material parental não-consolidado (definido em ""Guidelines for soil description - Third edition (Revised)"", Roma: FAO, 1990."
6;"Domínio de valores para fase (1988) (definido em ""Guidelines for soil description - Third edition (Revised)"", Roma: FAO, 1990."
7;"Domínio de valores para topografia (definido em ""Guidelines for soil description - Third edition (Revised)"", Roma: FAO, 1990."
8;"Domínio de valores para elemento de terreno (definido em ""Guidelines for soil description - Third edition (Revised)"", Roma: FAO, 1990."
9;"Domínio de valores para micro-topografia (definido em ""Guidelines for soil description - Third edition (Revised)"", Roma: FAO, 1990."
10;"Domínio de valores para cobertura vegetal (grama) (definido em ""Guidelines for soil description - Third edition (Revised)"", Roma: FAO, 1990."
104;"Domínio de valores para tamanho de raízes (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
12;"Domínio de valores para profundidade efetiva do solo (definido em ""Guidelines for soil description - Third edition (Revised)"", Roma: FAO, 1990."
13;"Domínio de valores para classe de drenagem (definido em ""Guidelines for soil description - Third edition (Revised)"", Roma: FAO, 1990."
14;"Domínio de valores para saturação (definido em ""Guidelines for soil description - Third edition (Revised)"", Roma: FAO, 1990."
15;"Domínio de valores para condutividade hidráulica (definido em ""Guidelines for soil description - Third edition (Revised)"", Roma: FAO, 1990."
