DomainValueId;Description
2264;Abril
2265;Maio
2266;Junho
2267;Julho
802;Estrutura da rocha
803;Estrutura estratificada
804;Grão simples
805;Maciça
806;Maciça porosa
807;Blocos
808;Blocos angulares
809;Blocos angulares (paralelepípedo)
810;Blocos angulares e sub-angulares
811;Blocos angulares (em forma de cunha)
812;Blocos sub-angulares e angulares
813;Blocos sub-angulares
814;Blocos sub-angulares sub-arredondados ('nutty')
815;Prismática
816;Prismática sub-angular
817;Cuneiforme
818;Colunar
819;Granular
820;Coprólitos
821;Laminar
822;Torrões ('cloddy')
823;Grumos ('crumbly')
824;Aglomerados ('lumpy')
825;Muito pequena
826;Pequena
827;Média
828;Grande
829;Muito grande
830;Extremamente grande
831;Muito pequena e pequena
832;Muito pequena a média
833;Pequena e média
834;Pequena a grande
835;Média e grande
836;Média a muito grande
837;Grande e muito grande
838;Solto
839;Macio
840;Extremamente duro
841;Macio a ligeiramente duro
842;Ligeiramente duro a duro
843;Duro a muito duro
844;Solto
845;Muito friável
846;Friável
1000;Vermelho-amarelado
2268;Agosto
2269;Setembro
2270;Outubro
2271;Novembro
2272;Dezembro
847;Firme
848;Muito firme
849;Extremamente firme
850;Muito friável a friável
1;Plano
2;Em nível
3;Quase em nível
4;Muito suavemente ondulado
5;Suavemente ondulado
6;Ondulado
1754;Marga
7;Fortemente ondulado
8;Moderadamente íngreme
9;Íngreme
10;Muito íngreme
11;Cevada
12;Milho
13;Milheto
14;Arroz (inundado)
15;Arroz (sequeiro)
16;Sorgo
17;Trigo
18;Coco
19;Amendoim
20;Palmeiras oleaginosas
21;Soja
22;Girassol
23;Mandioca
24;Batata
25;Inhames
26;Algodão
27;Legumes
28;Feijão
29;Ervilha
30;Cacau
31;Café
32;Chá
33;Tabaco
34;Cana-de-açúcar
35;Seringueira
283;Chuva
303;Áquico
535;Nenhum
2249;Areia
2250;Areia-franca
36;Montanha
37;Morro/colina/coxilha
38;Planalto
39;Planície
40;Platô
41;Bacia
42;Vale
43;Planície aluvial
44;Planície costeira
45;Planície lacustre
46;Planície glacial
47;Peneplano
48;Pedimento
49;Vulcão
50;Campo de dunas
51;Delta
52;Planície de maré
53;Playa
54;Interflúvio
55;Vale
56;Fundo de vale
57;Canal
58;Dique
59;Terraço
60;Várzea
61;Laguna
62;Tanque/Piscina ('Pan')
63;Recife de corais
64;Caldeira
65;Depressão
66;Duna
67;Duna longitudinal
68;Depressão interdunal
69;Encosta
70;Crista/cume
71;Crista de praia
72;Caju
73;Feijão-caupi
74;Árvores frutíferas
75;Arroz
76;Batata doce
77;Depósitos eólicos (não especificado)
78;Areia eólica
79;Depósitos litorais
80;Depósitos de laguna
81;Depósitos marinhos
82;Depósitos lacustres
83;Depósitos fluviais
84;Depósitos aluviais
85;Cinzas vulcânicas
86;Loess
87;Depósitos piroclásticos
88;Depósitos glaciais
89;Depósitos orgânicos
90;Depósitos coluviais
91;Intemperizado in situ
92;Saprólito
93;Não-consolidado (não especificado)
94;Antráquica
95;Duripã
96;Fragipã
97;Gelúndica
98;Gilgai
99;Inúndica
100;Lítica
101;Petroférrica
102;Freática
103;Plácica
104;Rúdica
105;Sálica
106;Esquelética
107;Sódica
108;Taquírica
109;Yérmica
110;Plana (0-0,5%)
111;Quase plana (0,5-2%)
112;Suave ondulada (2-5%)
113;Ondulante (5-10%)
114;Ondulada (10-15%)
115;Acidentada (15-30%)
116;Íngreme dissecada (> 30%, moderada amplitude de elevação)
117;Montanhosa (> 30%, grande amplitude de elevação (> 300 m))
118;Sem micro-relevo - a superfície é (quase) plana
119;Gilgai (não especificado)
120;Gilgai baixo - diferença de altura (dentro de 10 m) < 20 cm
121;Gilgai médio - diferença de altura (dentro de 10 m) 20-40 cm
122;Gilgai alto - diferença de altura (dentro de 10 m) > 40 cm
123;Cupinzeiros ou montes de formigas
124;Trilhas de animais
125;Tocas de animais
126;'Hummocks' (não especificado)
127;'Hummocks' baixos - diferença de altura < 20 cm
128;'Hummocks' médios - diferença de altura de 20-40 cm
129;'Hummocks' altos - diferença de altura > 40 cm
130;Areias movediças
131;Terracetes
132;Ondulações
133;Sem cobertura
134;0-15%
135;15-40%
136;40-80%
137;> 80%
138;Rocha ígnea ácida/metamórfica
139;Granito
305;Údico
140;Gnaisse
2262;Fevereiro
141;Granito/gnaisse
142;Quartzito
143;Xisto
144;Andesito
145;Diorito
146;Rocha ígnea básica/metamórfica
147;Rocha ultrabásica
148;Gabbro
149;Basalto
150;Dolerito
151;Rocha vulcânica
152;Rocha sedimentar
153;Calcário
154;Dolomito
155;Arenito
156;Arenito quartzítico
157;Argilito (shale)
158;Marga
159;Travertino
160;Conglomerado
161;Siltito
162;Tufo
163;Rocha piroclástica
164;Evaporitos
165;Gipsita
166;Desconhecido
167;Muito raso (< 30 cm)
168;Raso (30-50 cm)
169;Moderadamente profundo (50-100 cm)
170;Profundo (100-150 cm)
171;Muito profundo (> 150 cm)
172;Excessivamente bem drenado
173;Um tanto quanto excessivamente bem drenado
174;Bem drenado
175;Moderadamente bem drenado
176;Imperfeitamente drenado
177;Mal drenado
178;Muito mal drenado
179;Menos de 1 dia
180;1-15 dias
181;15-30 dias
182;30-90 dias
183;90-180 dias
184;180-360 dias
185;Continuamente
186;Nenhum
187;Diariamente
188;Semanalmente
189;Mensalmente
190;Anualmente
191;Bianualmente
192;Uma vez a cada 2-4 anos
193;Uma vez a cada 5-10 anos
194;Raramente (menos de uma vez a cada 10 anos)
195;Desconhecido
