DomainValueId;Explanation
2264;-em branco-
2265;-em branco-
2266;-em branco-
2267;-em branco-
802;-em branco-
803;-em branco-
804;-em branco-
805;-em branco-
806;-em branco-
807;-em branco-
808;-em branco-
809;-em branco-
810;-em branco-
811;-em branco-
812;-em branco-
813;-em branco-
814;-em branco-
815;-em branco-
816;-em branco-
817;-em branco-
818;-em branco-
819;-em branco-
820;-em branco-
821;-em branco-
822;-em branco-
823;-em branco-
824;-em branco-
825;Granular/laminar: < 1 mm, Prismática/colunar/ cuneiforme: < 10 mm, Em blocos/em grumos/em aglomerados/em torrões: < 5 mm.
826;Granular/laminar: 1-2 mm, Prismática/colunar/cuneiforme: 10-20 mm, Em blocos/em grumos/em aglomerados/em torrões: 5-10 mm.
827;Granular/laminar: 2-5 mm, Prismática/colunar/cuneiforme: 20-50 mm, Em blocos/em grumos/em aglomerados/em torrões: 10-20 mm.
828;Granular/laminar: 5-10 mm, Prismática/colunar/cuneiforme: 50-100 mm, Em blocos/em grumos/em aglomerados/em torrões: 20-50 mm.
829;Granular/laminar: > 10 mm, Prismática/colunar/cuneiforme: 100-500 mm, Em blocos/em grumos/em aglomerados/em torrões: > 50 mm.
830;Prismática/colunar/cuneiforme: > 500 mm.
831;-em branco-
832;-em branco-
833;-em branco-
834;-em branco-
835;-em branco-
836;-em branco-
837;-em branco-
838;Não-coerente.
839;"A massa do solo é muito fracamente coerente e frágil - desfaz-se em poeira ou grãos individuais sob pressão muito leve."
840;"Extremamente resistente à pressão, não pode ser quebrado na mão."
841;-em branco-
842;-em branco-
843;-em branco-
844;Não-coerente.
845;O material do solo esboroa-se com pressão muito leve, mas agrega-se por compressão posterior.
846;O material do solo esboroa-se facilmente sob pressão fraca e moderada entre o polegar e o indicador, agrega-se por compressão posterior.
1000;-em branco-
2268;-em branco-
2269;-em branco-
2270;-em branco-
2271;-em branco-
2272;-em branco-
847;O material do solo esboroa-se sob pressão moderada entre o polegar e o indicador, mas a resistência é claramente perceptível.
848;"O material do solo esboroa-se sob forte pressão - mal se desfaz entre o polegar e o indicador."
849;"O material do solo esboroa-se apenas sob pressão muito forte - não pode ser esmagado entre o polegar e o indicador."
850;-em branco-
1;0-0,2%
2;0,2-0,5%
3;0,5-1,0%
4;1,0-2,0°%
5;2-5%
6;5-10%
1754;-em branco-
7;10-15%
8;15-30%
9;30-60%
10;> 60%
11;-em branco-
12;-em branco-
13;-em branco-
14;-em branco-
15;-em branco-
16;-em branco-
17;-em branco-
18;-em branco-
19;-em branco-
20;-em branco-
21;-em branco-
22;-em branco-
23;-em branco-
24;-em branco-
25;-em branco-
26;-em branco-
27;-em branco-
28;-em branco-
29;-em branco-
30;-em branco-
31;-em branco-
32;-em branco-
33;-em branco-
34;-em branco-
35;-em branco-
283;-em branco-
303;-em branco-
535;-em branco-
2249;-em branco-
2250;-em branco-
36;-em branco-
37;-em branco-
38;-em branco-
39;-em branco-
40;-em branco-
41;-em branco-
42;-em branco-
43;-em branco-
44;-em branco-
45;-em branco-
46;-em branco-
47;-em branco-
48;-em branco-
49;-em branco-
50;-em branco-
51;-em branco-
52;-em branco-
53;Bacia plana e extensa de região desértica, muitas vezes rebaixada pela deflação eólica, onde se forma lago raso em épocas de chuvas, depositando-se camada superficial de lama que endurece no tempo seco.
54;-em branco-
55;-em branco-
56;-em branco-
57;-em branco-
58;-em branco-
59;-em branco-
60;-em branco-
61;-em branco-
62;Depressão natural ou artificial no terreno, onde o sal pode ser obtido por evaporação da água salgada. Também pode ser uma depressão natural contendo água ou lama.
63;-em branco-
64;-em branco-
65;-em branco-
66;-em branco-
67;-em branco-
68;-em branco-
69;-em branco-
70;-em branco-
71;-em branco-
72;-em branco-
73;-em branco-
74;-em branco-
75;-em branco-
76;-em branco-
77;-em branco-
78;-em branco-
79;-em branco-
80;-em branco-
81;-em branco-
82;-em branco-
83;-em branco-
84;-em branco-
85;-em branco-
86;-em branco-
87;-em branco-
88;-em branco-
89;-em branco-
90;-em branco-
91;-em branco-
92;-em branco-
93;-em branco-
94;-em branco-
95;-em branco-
96;-em branco-
97;-em branco-
98;-em branco-
99;-em branco-
100;-em branco-
101;-em branco-
102;-em branco-
103;-em branco-
104;-em branco-
105;-em branco-
106;-em branco-
107;-em branco-
108;-em branco-
109;-em branco-
110;-em branco-
111;-em branco-
112;-em branco-
113;-em branco-
114;-em branco-
115;-em branco-
116;-em branco-
117;-em branco-
118;-em branco-
119;-em branco-
120;-em branco-
121;-em branco-
122;-em branco-
123;-em branco-
124;-em branco-
125;-em branco-
126;-em branco-
127;-em branco-
128;-em branco-
129;-em branco-
130;-em branco-
131;-em branco-
132;-em branco-
133;-em branco-
134;-em branco-
135;-em branco-
136;-em branco-
137;-em branco-
138;-em branco-
139;-em branco-
305;-em branco-
140;-em branco-
2262;-em branco-
141;-em branco-
142;-em branco-
143;-em branco-
144;-em branco-
145;-em branco-
146;-em branco-
147;-em branco-
148;-em branco-
149;-em branco-
150;-em branco-
151;-em branco-
152;-em branco-
153;-em branco-
154;-em branco-
155;-em branco-
156;-em branco-
157;-em branco-
158;-em branco-
159;-em branco-
160;-em branco-
161;-em branco-
162;-em branco-
163;-em branco-
164;-em branco-
165;-em branco-
166;-em branco-
167;-em branco-
168;-em branco-
169;-em branco-
170;-em branco-
171;-em branco-
172; A água é removida do solo muito rapidamente.
173; A água é removida do solo rapidamente.
174; A água é removida do solo um tanto quanto lentamente, durante certos períodos do ano. Os solos permanecem encharcados por períodos curtos dentro da profundidade de enraizamento.
175; A água é removida do solo um tanto lentamente, durante certos períodos do ano. Os solos permanecem encharcados por períodos curtos dentro da profundidade de enraizamento.
176;A água é removida lentamente, de modo que os solos permanecem encharcados em profundidade por um período considerável.
177;A água é removida tão lentamente que os solos comumente permanecem encharcados por períodos consideráveis. Os solos geralmente possuem uma lâmina de água rasa.
178;A água é removida tão lentamente que os solos permanecem encharcados em profundidade por longos períodos. Os solos têm uma lâmina de água muito rasa.
179;-em branco-
180;-em branco-
181;-em branco-
182;-em branco-
183;-em branco-
184;-em branco-
185;-em branco-
186;-em branco-
187;-em branco-
188;-em branco-
189;-em branco-
190;-em branco-
191;-em branco-
192;-em branco-
193;-em branco-
194;-em branco-
195;-em branco-
196;-em branco-
197;-em branco-
198;-em branco-
199;-em branco-
200;-em branco-
201;-em branco-
202;-em branco-
203;-em branco-
204;-em branco-
205;-em branco-
206;-em branco-
207;-em branco-
208;-em branco-
209;-em branco-
210;-em branco-
211;-em branco-
212;-em branco-
213;-em branco-
214;-em branco-
215;-em branco-
216;-em branco-
217;-em branco-
218;-em branco-
219;-em branco-
220;-em branco-
221;-em branco-
222;-em branco-
223;-em branco-
224;-em branco-
225;-em branco-
226;-em branco-
227;-em branco-
228;-em branco-
229;-em branco-
230;-em branco-
231;-em branco-
232;-em branco-
233;-em branco-
234;-em branco-
235;-em branco-
236;-em branco-
237;-em branco-
238;-em branco-
239;-em branco-
240;Laminar: < 1 mm, prismática: < 10 mm, em blocos: < 5 mm, granular: < 1 mm.
241;-em branco-
242;Laminar: 1-2 mm, prismática: 10-20 mm, em blocos: 5-10 mm, granular: 1-2 mm.
243;Laminar: 2-5 mm, prismática: 20-50 mm, em blocos: 10-20 mm, granular: 2-5 mm.
244;Laminar: 5-10 mm, prismática: 50-100 mm, em blocos: 20-50 mm, granular: 5-10 mm.
245;Laminar: > 10 mm, prismática: > 100 mm, blocos: > 50 mm, granular: > 10 mm.
246;-em branco-
247;-em branco-
248;-em branco-
249;-em branco-
250;-em branco-
251;-em branco-
252;-em branco-
253;-em branco-
254;-em branco-
255;-em branco-
256;-em branco-
257;-em branco-
258;-em branco-
259;-em branco-
260;-em branco-
261;-em branco-
262;-em branco-
263;-em branco-
264;-em branco-
265;-em branco-
266;-em branco-
267;-em branco-
268;-em branco-
269;-em branco-
2263;-em branco-
270;-em branco-
271;-em branco-
272;-em branco-
273;-em branco-
274;-em branco-
275;50% ou mais de areia muito fina (e menos de 25% de areia grossa e muito grossa).
276;50% ou mais de areia fina e muito fina (e menos de 25% de areia grossa e muito grossa).
277;25% ou mais de areia muito grossa e grossa, e menos de 50% de areia média e menos de 50% de areia fina e muito fina.
278;Ou 50% ou mais de areia média, ou 25% ou mais de areia média com menos de 25% de areia grossa e muito grossa e menos de 50% de areia fina e muito fina.
279;-em branco-
280;-em branco-
281;-em branco-
282;-em branco-
284;-em branco-
285;-em branco-
286;-em branco-
287;-em branco-
